item	writer
8341	nm0000180
7087	nm0000180
7585	nm0000180
31374	nm0000180
260	nm0000184
1198	nm0000184
1196	nm0000184
1210	nm0000184
1291	nm0000184
2115	nm0000184
33493	nm0000184
3363	nm0000184
6645	nm0000184
2628	nm0000184
5378	nm0000184
2193	nm0000184
59615	nm0000184
61160	nm0000184
69524	nm0000184
4848	nm0000186
2076	nm0000186
2313	nm0000186
1464	nm0000186
3676	nm0000186
7044	nm0000186
49932	nm0000186
2021	nm0000186
3262	nm0000186
2109	nm0000188
2770	nm0000188
8623	nm0000188
2108	nm0000188
39414	nm0000188
61352	nm0000188
2110	nm0000188
2111	nm0000188
2478	nm0000188
43836	nm0000188
66798	nm0000188
1517	nm0000196
3253	nm0000196
5481	nm0000196
2683	nm0000196
3254	nm0000196
58315	nm0000196
36	nm0000209
1171	nm0000209
3145	nm0000209
1213	nm0000217
16	nm0000217
8042	nm0000217
412	nm0000217
8755	nm0000217
3471	nm0000229
4370	nm0000229
2005	nm0000229
1994	nm0000229
3738	nm0000229
1954	nm0000230
2403	nm0000230
2412	nm0000230
434	nm0000230
2409	nm0000230
2411	nm0000230
2410	nm0000230
57528	nm0000230
2402	nm0000230
49651	nm0000230
79695	nm0000230
2404	nm0000230
91485	nm0000230
4265	nm0000230
112897	nm0000230
6800	nm0000230
4262	nm0000231
1090	nm0000231
288	nm0000231
3386	nm0000231
4007	nm0000231
3498	nm0000231
4008	nm0000231
1416	nm0000231
4407	nm0000231
4009	nm0000231
8977	nm0000231
80590	nm0000231
1587	nm0000231
3173	nm0000231
14	nm0000231
1093	nm0000231
95583	nm0000231
296	nm0000233
6874	nm0000233
1089	nm0000233
7438	nm0000233
68157	nm0000233
1729	nm0000233
288	nm0000233
555	nm0000233
52281	nm0000233
53519	nm0000233
99114	nm0000233
70	nm0000233
18	nm0000233
6874	nm0000235
7438	nm0000235
3265	nm0000247
1218	nm0000247
61026	nm0000247
26585	nm0000247
26681	nm0000247
6387	nm0000247
68486	nm0000247
63131	nm0000251
85367	nm0000251
93326	nm0000251
1704	nm0000255
55290	nm0000255
80489	nm0000255
5878	nm0000264
44694	nm0000264
3083	nm0000264
8973	nm0000264
3067	nm0000264
1844	nm0000264
72386	nm0000264
26599	nm0000264
7011	nm0000264
26527	nm0000264
1190	nm0000264
89118	nm0000264
567	nm0000264
617	nm0000264
7037	nm0000264
5013	nm0000265
535	nm0000265
3093	nm0000265
8261	nm0000265
305	nm0000265
7010	nm0000269
4223	nm0000269
8534	nm0000269
1278	nm0000316
3671	nm0000316
2300	nm0000316
3033	nm0000316
12	nm0000316
520	nm0000316
2301	nm0000316
42002	nm0000316
26386	nm0000316
60126	nm0000316
8512	nm0000316
2291	nm0000318
551	nm0000318
37729	nm0000318
32840	nm0000318
97172	nm0000318
6666	nm0000320
25771	nm0000320
154	nm0000320
4928	nm0000320
8620	nm0000320
8239	nm0000320
25963	nm0000320
25774	nm0000320
26246	nm0000320
26318	nm0000320
4399	nm0000320
52528	nm0000320
49394	nm0000320
26547	nm0000329
2880	nm0000329
27032	nm0000329
2879	nm0000329
42946	nm0000329
36850	nm0000329
858	nm0000338
1221	nm0000338
1208	nm0000338
2023	nm0000338
1272	nm0000338
3730	nm0000338
26485	nm0000338
3194	nm0000338
7178	nm0000338
1672	nm0000338
4690	nm0000338
4628	nm0000338
2746	nm0000339
2747	nm0000339
25961	nm0000339
480	nm0000341
6303	nm0000341
2527	nm0000341
6990	nm0000341
3015	nm0000341
1544	nm0000341
2826	nm0000341
1779	nm0000341
4638	nm0000341
160	nm0000341
6959	nm0000341
225	nm0000341
736	nm0000341
517	nm0000341
2455	nm0000343
6774	nm0000343
7123	nm0000343
2551	nm0000343
5853	nm0000343
6748	nm0000343
31270	nm0000343
7029	nm0000343
2600	nm0000343
1483	nm0000343
432	nm0000345
237	nm0000345
4639	nm0000345
1704	nm0000354
6162	nm0000354
5712	nm0000361
4932	nm0000361
26303	nm0000361
4789	nm0000361
2126	nm0000361
5809	nm0000361
7616	nm0000361
8638	nm0000365
54796	nm0000365
100714	nm0000365
1719	nm0000382
233	nm0000382
39419	nm0000382
3055	nm0000382
5817	nm0000382
780	nm0000386
316	nm0000386
8361	nm0000386
72378	nm0000386
1882	nm0000386
58293	nm0000386
5438	nm0000389
49280	nm0000389
87194	nm0000389
1092	nm0000390
3102	nm0000390
193	nm0000390
6454	nm0000390
540	nm0000390
2942	nm0000390
44759	nm0000390
1136	nm0000416
1080	nm0000416
6807	nm0000416
1199	nm0000416
1884	nm0000416
2968	nm0000416
4467	nm0000416
69951	nm0000416
4911	nm0000416
2788	nm0000416
47465	nm0000416
6104	nm0000416
4914	nm0000419
6023	nm0000419
680	nm0000419
7748	nm0000419
1572	nm0000419
7043	nm0000419
8738	nm0000419
7749	nm0000419
31930	nm0000419
1173	nm0000425
1554	nm0000425
3221	nm0000425
3223	nm0000425
8732	nm0000425
4500	nm0000425
7065	nm0000428
7243	nm0000428
6988	nm0000428
1617	nm0000436
3347	nm0000436
2918	nm0000455
1968	nm0000455
586	nm0000455
2144	nm0000455
4002	nm0000455
2795	nm0000455
2145	nm0000455
2134	nm0000455
1367	nm0000455
2953	nm0000455
1702	nm0000455
6793	nm0000455
1707	nm0000455
2423	nm0000455
4679	nm0000455
2794	nm0000455
3591	nm0000455
4509	nm0000455
5096	nm0000455
1290	nm0000455
277	nm0000455
6166	nm0000455
6558	nm0000455
5943	nm0000455
58655	nm0000455
6794	nm0000455
34437	nm0000464
3328	nm0000464
714	nm0000464
1273	nm0000464
7460	nm0000464
1279	nm0000464
3521	nm0000464
3925	nm0000464
107771	nm0000464
69516	nm0000464
4973	nm0000466
29	nm0000466
1175	nm0000466
27721	nm0000466
76173	nm0000466
1220	nm0000484
1321	nm0000484
26492	nm0000484
2793	nm0000484
2413	nm0000484
1772	nm0000484
2010	nm0000485
1260	nm0000485
8670	nm0000485
25825	nm0000485
4768	nm0000485
5072	nm0000485
232	nm0000487
7023	nm0000487
4743	nm0000487
3424	nm0000490
3246	nm0000490
2702	nm0000490
159	nm0000490
3426	nm0000490
352	nm0000490
1840	nm0000490
3943	nm0000490
74916	nm0000492
4345	nm0000492
441	nm0000500
8638	nm0000500
27904	nm0000500
215	nm0000500
4873	nm0000500
6978	nm0000500
49347	nm0000500
112290	nm0000500
100714	nm0000500
94896	nm0000500
4855	nm0000517
2427	nm0000517
3741	nm0000517
42418	nm0000517
2932	nm0000517
86898	nm0000517
2194	nm0000519
2278	nm0000519
1747	nm0000519
1095	nm0000519
1834	nm0000519
3068	nm0000519
4037	nm0000519
59336	nm0000519
2262	nm0000519
2611	nm0000519
334	nm0000519
4148	nm0000519
4029	nm0000519
4889	nm0000519
1615	nm0000519
7348	nm0000519
46572	nm0000519
6997	nm0000519
3529	nm0000519
6	nm0000520
1408	nm0000520
3006	nm0000520
69640	nm0000520
4210	nm0000520
5867	nm0000520
47044	nm0000520
5009	nm0000520
53887	nm0000532
2862	nm0000532
8196	nm0000540
390	nm0000540
4489	nm0000552
4084	nm0000552
4102	nm0000552
26471	nm0000552
5027	nm0000552
122	nm0000552
50806	nm0000552
1376	nm0000559
1372	nm0000559
2117	nm0000567
35347	nm0000567
62049	nm0000567
1416	nm0000570
3706	nm0000570
6798	nm0000570
3179	nm0000570
518	nm0000570
55247	nm0000576
7918	nm0000576
78	nm0000576
7789	nm0000576
926	nm0000581
3549	nm0000581
25952	nm0000581
4274	nm0000581
51678	nm0000581
4420	nm0000581
7211	nm0000581
80748	nm0000581
1233	nm0000583
2161	nm0000583
2784	nm0000590
4403	nm0000590
2782	nm0000590
7650	nm0000590
1252	nm0000591
2160	nm0000591
74545	nm0000591
3075	nm0000591
6530	nm0000591
6858	nm0000591
90430	nm0000591
4506	nm0000591
7069	nm0000591
8923	nm0000591
3355	nm0000591
8928	nm0000591
42900	nm0000591
347	nm0000591
1261	nm0000600
52722	nm0000600
68952	nm0000600
6966	nm0000600
4105	nm0000600
1215	nm0000600
471	nm0000600
101739	nm0000600
1265	nm0000601
2716	nm0000601
3421	nm0000601
3552	nm0000601
1663	nm0000601
3040	nm0000601
2717	nm0000601
2539	nm0000601
5900	nm0000601
2416	nm0000601
69436	nm0000601
3968	nm0000601
800	nm0000626
4322	nm0000626
58105	nm0000626
314	nm0000626
3090	nm0000626
1130	nm0000626
3700	nm0000626
1187	nm0000626
3024	nm0000626
2682	nm0000626
5447	nm0000626
55768	nm0000632
27922	nm0000632
7073	nm0000634
5796	nm0000634
1059	nm0000636
1947	nm0000636
497	nm0000636
1217	nm0000636
1411	nm0000636
1301	nm0000636
1224	nm0000636
7766	nm0000636
3668	nm0000636
1611	nm0000636
41	nm0000636
3181	nm0000636
7069	nm0000636
3598	nm0000636
1941	nm0000636
1050	nm0000636
6358	nm0000636
51678	nm0000636
3028	nm0000636
25901	nm0000636
7338	nm0000636
30701	nm0000636
2848	nm0000636
3723	nm0000636
103027	nm0000636
2622	nm0000636
26306	nm0000636
4745	nm0000636
2572	nm0000636
26	nm0000636
5095	nm0000636
30850	nm0000636
892	nm0000636
91571	nm0000636
84637	nm0000636
17	nm0000668
40629	nm0000668
43560	nm0000668
7572	nm0000668
1358	nm0000671
4020	nm0000671
3728	nm0000671
678	nm0000671
45501	nm0000681
71668	nm0000681
102481	nm0000681
52042	nm0000682
7586	nm0000682
7307	nm0000682
1287	nm0000683
3872	nm0000683
2862	nm0000683
52975	nm0000691
2926	nm0000691
532	nm0000691
2361	nm0000691
7920	nm0000691
26680	nm0000691
2282	nm0000691
3858	nm0000691
5780	nm0000691
8872	nm0000691
4863	nm0000691
1211	nm0000694
2677	nm0000694
6021	nm0000694
87004	nm0000694
1835	nm0000694
1306	nm0000694
3920	nm0000694
38701	nm0000694
910	nm0000697
922	nm0000697
3435	nm0000697
909	nm0000697
915	nm0000697
5008	nm0000697
3196	nm0000697
4359	nm0000697
3736	nm0000697
936	nm0000697
1938	nm0000697
4184	nm0000697
6579	nm0000697
25868	nm0000697
6581	nm0000697
937	nm0000697
3076	nm0000697
4186	nm0000697
8336	nm0000697
49200	nm0000697
7578	nm0000697
6573	nm0000697
7093	nm0000697
4954	nm0000697
5796	nm0000697
7	nm0000697
26085	nm0000697
1278	nm0000698
4662	nm0000698
1270	nm0000709
5125	nm0000709
2011	nm0000709
2012	nm0000709
8965	nm0000709
72294	nm0000709
842	nm0000709
7104	nm0000709
2791	nm0000720
3868	nm0000720
3869	nm0000720
5500	nm0000720
5541	nm0000720
44972	nm0000720
3760	nm0000720
370	nm0000720
466	nm0000720
2027	nm0000720
56782	nm0000759
3160	nm0000759
1673	nm0000759
5673	nm0000759
2952	nm0000759
96728	nm0000759
116799	nm0000759
3788	nm0000774
8195	nm0000774
26094	nm0000774
4325	nm0000774
32792	nm0000774
26350	nm0000774
26237	nm0000774
33171	nm0000777
1529	nm0000777
166	nm0000777
6954	nm0000780
4612	nm0000780
8933	nm0000780
1209	nm0000783
4437	nm0000783
7115	nm0000783
6140	nm0000783
6803	nm0000783
41014	nm0000783
4794	nm0000783
3587	nm0000783
50912	nm0000801
81817	nm0000801
4297	nm0000806
469	nm0000806
17	nm0000807
40629	nm0000807
838	nm0000807
28	nm0000807
51834	nm0000807
7579	nm0000807
7669	nm0000807
31694	nm0000807
74508	nm0000807
89678	nm0000807
70521	nm0000807
3079	nm0000807
84847	nm0000807
194	nm0000808
156	nm0000808
296	nm0000812
1089	nm0000812
555	nm0000812
55995	nm0000812
45081	nm0000812
5666	nm0000812
482	nm0000812
5002	nm0000835
31150	nm0000835
3917	nm0000850
1342	nm0000850
7951	nm0000850
3918	nm0000850
60941	nm0000850
3919	nm0000850
177	nm0000850
919	nm0000875
2093	nm0000875
62970	nm0000875
101112	nm0000875
30810	nm0000876
72226	nm0000876
38886	nm0000876
74916	nm0000876
56274	nm0000876
102800	nm0000876
72	nm0000876
95105	nm0000876
3205	nm0000878
3832	nm0000878
1883	nm0000886
2779	nm0000886
2929	nm0000886
3099	nm0000886
4153	nm0000886
1264	nm0000894
7042	nm0000894
2324	nm0000905
2593	nm0000905
48032	nm0000905
2640	nm0000914
1084	nm0000914
1955	nm0000914
281	nm0000914
6533	nm0000914
3111	nm0000914
40959	nm0000914
1791	nm0000914
8937	nm0000916
2387	nm0000916
77364	nm0000916
107069	nm0000916
3671	nm0000921
2371	nm0000921
26425	nm0000921
6974	nm0000921
3614	nm0000921
6374	nm0000921
762	nm0000921
3712	nm0000921
1209	nm0000934
1960	nm0000934
7008	nm0000934
2925	nm0000934
26359	nm0000934
365	nm0000934
781	nm0000934
2000	nm0000948
38061	nm0000948
4135	nm0000948
485	nm0000948
1918	nm0000948
1047	nm0000948
2001	nm0000948
2002	nm0000948
102125	nm0000948
7007	nm0000948
3152	nm0000953
6533	nm0000953
6727	nm0000953
2871	nm0000958
2872	nm0000958
4117	nm0000958
4234	nm0000958
2425	nm0000958
7817	nm0000958
8684	nm0000975
26052	nm0000975
26151	nm0000975
7301	nm0000975
44657	nm0000975
3358	nm0000983
4276	nm0000983
1414	nm0000983
2829	nm0000983
1784	nm0000985
54272	nm0000985
1958	nm0000985
2243	nm0000985
27808	nm0000985
82499	nm0000985
509	nm0001005
71327	nm0001005
3127	nm0001005
6885	nm0001005
7071	nm0001023
7126	nm0001023
702	nm0001023
8602	nm0001023
4239	nm0001024
50442	nm0001024
69712	nm0001024
4914	nm0001031
5364	nm0001031
1136	nm0001037
1080	nm0001037
6807	nm0001037
2788	nm0001037
6104	nm0001037
1194	nm0001045
4415	nm0001045
4834	nm0001045
1263	nm0001047
3682	nm0001047
5410	nm0001047
3769	nm0001047
608	nm0001053
1732	nm0001053
4027	nm0001053
55820	nm0001053
1394	nm0001053
61323	nm0001053
82459	nm0001053
1245	nm0001053
6440	nm0001053
3683	nm0001053
4881	nm0001053
71464	nm0001053
50912	nm0001053
471	nm0001053
7367	nm0001053
6873	nm0001053
106766	nm0001053
608	nm0001054
1732	nm0001054
4027	nm0001054
55820	nm0001054
1394	nm0001054
61323	nm0001054
82459	nm0001054
1245	nm0001054
6440	nm0001054
3683	nm0001054
4881	nm0001054
71464	nm0001054
50912	nm0001054
471	nm0001054
7367	nm0001054
6873	nm0001054
106766	nm0001054
2005	nm0001060
2003	nm0001060
2004	nm0001060
8978	nm0001060
2800	nm0001060
186	nm0001060
2414	nm0001060
6711	nm0001068
3556	nm0001068
45880	nm0001068
81791	nm0001068
4628	nm0001068
103137	nm0001068
3897	nm0001081
1393	nm0001081
3210	nm0001081
2248	nm0001081
4975	nm0001081
3261	nm0001081
91653	nm0001081
39231	nm0001081
69	nm0001084
3177	nm0001084
5874	nm0001084
1073	nm0001094
30793	nm0001094
72226	nm0001094
661	nm0001094
7569	nm0001094
837	nm0001094
7045	nm0001094
7247	nm0001094
318	nm0001104
4480	nm0001104
56145	nm0001104
3147	nm0001104
273	nm0001104
1970	nm0001104
2456	nm0001104
111364	nm0001104
3089	nm0001120
4424	nm0001120
3808	nm0001120
176	nm0001139
79073	nm0001139
5445	nm0001140
541	nm0001140
2916	nm0001140
27904	nm0001140
84954	nm0001140
7163	nm0001140
51412	nm0001140
76	nm0001140
5046	nm0001140
6662	nm0001175
1125	nm0001175
7073	nm0001175
1081	nm0001175
5004	nm0001175
1083	nm0001175
3394	nm0001175
6663	nm0001175
8596	nm0001175
43836	nm0001175
6658	nm0001175
66798	nm0001175
3742	nm0001178
7756	nm0001178
1307	nm0001188
539	nm0001188
4809	nm0001188
70293	nm0001188
1409	nm0001188
33836	nm0001188
2424	nm0001188
2249	nm0001188
5879	nm0001191
104	nm0001191
216	nm0001191
2694	nm0001191
2335	nm0001191
59900	nm0001191
79134	nm0001191
3979	nm0001191
6509	nm0001202
31522	nm0001202
6126	nm0001202
5763	nm0001202
1284	nm0001203
7215	nm0001203
2612	nm0001203
7840	nm0001203
6452	nm0001203
8227	nm0001203
49272	nm0001220
2947	nm0001220
2949	nm0001220
2948	nm0001220
3984	nm0001220
3635	nm0001220
7569	nm0001220
2993	nm0001220
2989	nm0001220
3633	nm0001220
10	nm0001220
96079	nm0001220
1722	nm0001220
3638	nm0001220
7247	nm0001220
3082	nm0001220
5872	nm0001220
2991	nm0001220
3639	nm0001220
2990	nm0001220
2376	nm0001220
7570	nm0001220
4005	nm0001220
7573	nm0001220
5796	nm0001220
5145	nm0001232
5142	nm0001232
5646	nm0001232
52448	nm0001232
1267	nm0001239
48943	nm0001239
37741	nm0001246
116161	nm0001246
1916	nm0001252
27664	nm0001252
1197	nm0001279
1304	nm0001279
3499	nm0001279
6787	nm0001279
3198	nm0001279
3551	nm0001279
7980	nm0001279
2346	nm0001279
6250	nm0001279
6734	nm0001279
368	nm0001279
1049	nm0001279
1459	nm0001279
1425	nm0001279
8056	nm0001279
7618	nm0001279
4815	nm0001279
2688	nm0001279
1006	nm0001279
71429	nm0001281
93855	nm0001281
1212	nm0001294
5876	nm0001294
8765	nm0001294
3125	nm0001294
8330	nm0001294
46664	nm0001294
454	nm0001300
2803	nm0001300
8978	nm0001300
1672	nm0001300
6879	nm0001300
805	nm0001300
350	nm0001300
1006	nm0001300
1288	nm0001302
3911	nm0001302
1449	nm0001302
6296	nm0001302
49220	nm0001302
1236	nm0001325
1904	nm0001325
149	nm0001325
4183	nm0001325
4262	nm0001328
25788	nm0001328
2660	nm0001328
2847	nm0001328
5397	nm0001328
5812	nm0001331
56286	nm0001331
190	nm0001331
2337	nm0001331
86487	nm0001331
1617	nm0001338
6870	nm0001338
74795	nm0001338
69306	nm0001338
1597	nm0001338
101895	nm0001338
7445	nm0001338
1726	nm0001338
1971	nm0001338
72165	nm0001338
6703	nm0001338
2490	nm0001338
4299	nm0001338
23	nm0001338
77866	nm0001338
5506	nm0001338
1967	nm0001345
2140	nm0001345
91094	nm0001345
34542	nm0001348
7063	nm0001348
53550	nm0001348
2970	nm0001348
5489	nm0001348
60333	nm0001348
5059	nm0001348
5121	nm0001348
5056	nm0001348
37545	nm0001348
31547	nm0001348
3202	nm0001348
85394	nm0001348
26616	nm0001348
43897	nm0001348
90943	nm0001348
1200	nm0001353
5049	nm0001353
8016	nm0001353
5859	nm0001353
1320	nm0001353
7802	nm0001353
41136	nm0001353
996	nm0001353
5027	nm0001353
4531	nm0001353
73027	nm0001355
2622	nm0001355
2470	nm0001357
2471	nm0001357
4254	nm0001357
2459	nm0001361
6880	nm0001361
2460	nm0001361
913	nm0001379
969	nm0001379
1254	nm0001379
1303	nm0001379
3334	nm0001379
31116	nm0001379
7943	nm0001379
3364	nm0001379
25856	nm0001379
25927	nm0001379
7944	nm0001379
4429	nm0001379
7078	nm0001379
6450	nm0001379
970	nm0001379
8731	nm0001379
7216	nm0001379
2311	nm0001382
4443	nm0001382
26398	nm0001382
1136	nm0001385
1080	nm0001385
6807	nm0001385
2788	nm0001385
6104	nm0001385
26395	nm0001385
4993	nm0001392
7153	nm0001392
5952	nm0001392
41569	nm0001392
247	nm0001392
1241	nm0001392
4624	nm0001392
4350	nm0001392
98809	nm0001392
106489	nm0001392
799	nm0001392
1255	nm0001392
72731	nm0001392
118696	nm0001392
1136	nm0001402
1080	nm0001402
6807	nm0001402
1967	nm0001402
4591	nm0001402
7355	nm0001402
2788	nm0001402
1425	nm0001402
6104	nm0001402
1094	nm0001403
3125	nm0001403
2349	nm0001403
5797	nm0001403
40955	nm0001403
1699	nm0001403
991	nm0001403
6279	nm0001403
74488	nm0001403
1198	nm0001410
1196	nm0001410
1210	nm0001410
2352	nm0001410
2917	nm0001410
7027	nm0001410
4464	nm0001410
2112	nm0001410
6250	nm0001410
3257	nm0001410
383	nm0001410
2883	nm0001410
69524	nm0001410
307	nm0001425
306	nm0001425
308	nm0001425
1176	nm0001425
8656	nm0001425
26587	nm0001425
38159	nm0001425
8844	nm0001425
6118	nm0001425
5633	nm0001425
8370	nm0001429
1809	nm0001429
26840	nm0001429
8327	nm0001429
8012	nm0001429
4640	nm0001429
32196	nm0001429
665	nm0001437
2931	nm0001437
8254	nm0001437
39768	nm0001437
1594	nm0001438
2165	nm0001438
5527	nm0001438
47810	nm0001438
6341	nm0001438
1729	nm0001465
54997	nm0001465
21	nm0001465
1912	nm0001465
5300	nm0001465
5435	nm0001465
32019	nm0001465
1201	nm0001466
2951	nm0001466
3681	nm0001466
1209	nm0001466
1227	nm0001466
7894	nm0001466
26294	nm0001466
4361	nm0001469
3543	nm0001469
3420	nm0001469
4174	nm0001469
1395	nm0001469
2253	nm0001469
1061	nm0001469
26386	nm0001469
3078	nm0001469
8512	nm0001469
48593	nm0001469
2136	nm0001471
788	nm0001471
3821	nm0001471
3734	nm0001486
44197	nm0001486
8128	nm0001501
32179	nm0001501
47274	nm0001501
8499	nm0001501
1194	nm0001507
4415	nm0001507
4834	nm0001507
2686	nm0001528
3008	nm0001528
549	nm0001528
63033	nm0001528
7884	nm0001528
7708	nm0001545
3968	nm0001545
2716	nm0001548
5650	nm0001548
1096	nm0001587
7018	nm0001587
2803	nm0001587
1136	nm0001589
1080	nm0001589
6807	nm0001589
2968	nm0001589
2788	nm0001589
1425	nm0001589
6104	nm0001589
8154	nm0001596
2351	nm0001596
6609	nm0001596
6599	nm0001596
7024	nm0001596
8739	nm0001596
599	nm0001603
6301	nm0001603
7895	nm0001603
7896	nm0001603
52967	nm0001631
102588	nm0001631
94931	nm0001631
3671	nm0001640
6122	nm0001640
5101	nm0001640
42163	nm0001640
1288	nm0001661
80586	nm0001661
4153	nm0001674
6265	nm0001674
72169	nm0001674
51903	nm0001674
32587	nm0001675
52281	nm0001675
54995	nm0001675
3267	nm0001675
4232	nm0001675
5504	nm0001675
6566	nm0001675
163	nm0001675
18	nm0001675
6709	nm0001675
80219	nm0001675
968	nm0001681
7387	nm0001681
33834	nm0001681
74685	nm0001681
7360	nm0001681
6731	nm0001681
8225	nm0001681
58332	nm0001681
6395	nm0001681
7492	nm0001681
3017	nm0001681
2877	nm0001692
26241	nm0001692
4518	nm0001692
3146	nm0001705
4340	nm0001705
5942	nm0001705
34530	nm0001705
111	nm0001707
1228	nm0001707
2022	nm0001707
2734	nm0001707
2439	nm0001707
3649	nm0001707
2976	nm0001707
1346	nm0001707
100	nm0001707
30816	nm0001708
3115	nm0001708
2146	nm0001708
32460	nm0001709
56846	nm0001709
788	nm0001723
344	nm0001723
1305	nm0001731
26237	nm0001731
38701	nm0001731
3793	nm0001741
6333	nm0001741
