item	title
1206	Clockwork Orange, A (1971)
49272	Casino Royale (2006)
457	Fugitive, The (1993)
59315	Iron Man (2008)
2716	Ghostbusters (a.k.a. Ghost Busters) (1984)
1961	Rain Man (1988)
46578	Little Miss Sunshine (2006)
48780	Prestige, The (2006)
48394	Pan's Labyrinth (Laberinto del fauno, El) (2006)
1732	Big Lebowski, The (1998)
778	Trainspotting (1996)
1222	Full Metal Jacket (1987)
1200	Aliens (1986)
5618	Spirited Away (Sen to Chihiro no kamikakushi) (2001)
750	Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)
1208	Apocalypse Now (1979)
2918	Ferris Bueller's Day Off (1986)
54286	Bourne Ultimatum, The (2007)
8665	Bourne Supremacy, The (2004)
1721	Titanic (1997)
3949	Requiem for a Dream (2000)
1097	E.T. the Extra-Terrestrial (1982)
6711	Lost in Translation (2003)
588	Aladdin (1992)
912	Casablanca (1942)
4027	O Brother, Where Art Thou? (2000)
56367	Juno (2007)
55820	No Country for Old Men (2007)
8874	Shaun of the Dead (2004)
2291	Edward Scissorhands (1990)
8636	Spider-Man 2 (2004)
592	Batman (1989)
924	2001: A Space Odyssey (1968)
111	Taxi Driver (1976)
8368	Harry Potter and the Prisoner of Azkaban (2004)
68157	Inglourious Basterds (2009)
1080	Monty Python's Life of Brian (1979)
2115	Indiana Jones and the Temple of Doom (1984)
68954	Up (2009)
7147	Big Fish (2003)
1617	L.A. Confidential (1997)
33493	Star Wars: Episode III - Revenge of the Sith (2005)
3114	Toy Story 2 (1999)
6333	X2: X-Men United (2003)
8360	Shrek 2 (2004)
1246	Dead Poets Society (1989)
63082	Slumdog Millionaire (2008)
2542	Lock, Stock & Two Smoking Barrels (1998)
2324	Life Is Beautiful (La Vita è bella) (1997)
40815	Harry Potter and the Goblet of Fire (2005)
590	Dances with Wolves (1990)
6502	28 Days Later (2002)
72998	Avatar (2009)
4896	Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001)
48774	Children of Men (2006)
648	Mission: Impossible (1996)
4022	Cast Away (2000)
33166	Crash (2004)
50872	Ratatouille (2007)
1073	Willy Wonka & the Chocolate Factory (1971)
30749	Hotel Rwanda (2004)
1968	Breakfast Club, The (1985)
1653	Gattaca (1997)
3897	Almost Famous (2000)
904	Rear Window (1954)
1923	There's Something About Mary (1998)
5995	Pianist, The (2002)
1203	12 Angry Men (1957)
30707	Million Dollar Baby (2004)
2692	Run Lola Run (Lola rennt) (1998)
1225	Amadeus (1984)
1219	Psycho (1960)
35836	40-Year-Old Virgin, The (2005)
377	Speed (1994)
70286	District 9 (2009)
595	Beauty and the Beast (1991)
68358	Star Trek (2009)
919	Wizard of Oz, The (1939)
1784	As Good as It Gets (1997)
5816	Harry Potter and the Chamber of Secrets (2002)
34405	Serenity (2005)
223	Clerks (1994)
1610	Hunt for Red October, The (1990)
1201	Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)
1517	Austin Powers: International Man of Mystery (1997)
165	Die Hard: With a Vengeance (1995)
1259	Stand by Me (1986)
51255	Hot Fuzz (2007)
1387	Jaws (1975)
45722	Pirates of the Caribbean: Dead Man's Chest (2006)
44195	Thank You for Smoking (2006)
8784	Garden State (2004)
4034	Traffic (2000)
4262	Scarface (1983)
2791	Airplane! (1980)
597	Pretty Woman (1990)
5669	Bowling for Columbine (2002)
69122	Hangover, The (2009)
551	Nightmare Before Christmas, The (1993)
2706	American Pie (1999)
49530	Blood Diamond (2006)
1220	Blues Brothers, The (1980)
2174	Beetlejuice (1988)
923	Citizen Kane (1941)
2987	Who Framed Roger Rabbit? (1988)
64614	Gran Torino (2008)
6	Heat (1995)
1148	Wallace & Gromit: The Wrong Trousers (1993)
4979	Royal Tenenbaums, The (2001)
231	Dumb & Dumber (Dumb and Dumber) (1994)
3481	High Fidelity (2000)
2916	Total Recall (1990)
40819	Walk the Line (2005)
2194	Untouchables, The (1987)
27773	Old Boy (2003)
44555	Lives of Others, The (Das leben der Anderen) (2006)
1307	When Harry Met Sally... (1989)
3000	Princess Mononoke (Mononoke-hime) (1997)
54503	Superbad (2007)
2700	South Park: Bigger, Longer and Uncut (1999)
2797	Big (1988)
1090	Platoon (1986)
48385	Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006)
16	Casino (1995)
908	North by Northwest (1959)
6942	Love Actually (2003)
47610	Illusionist, The (2006)
46976	Stranger than Fiction (2006)
1252	Chinatown (1974)
2396	Shakespeare in Love (1998)
367	Mask, The (1994)
1207	To Kill a Mockingbird (1962)
1584	Contact (1997)
6870	Mystic River (2003)
2355	Bug's Life, A (1998)
8464	Super Size Me (2004)
586	Home Alone (1990)
6807	Monty Python's The Meaning of Life (1983)
74458	Shutter Island (2010)
1288	This Is Spinal Tap (1984)
31658	Howl's Moving Castle (Hauru no ugoku shiro) (2004)
2019	Seven Samurai (Shichinin no samurai) (1954)
81845	King's Speech, The (2010)
8949	Sideways (2004)
903	Vertigo (1958)
78499	Toy Story 3 (2010)
1247	Graduate, The (1967)
2000	Lethal Weapon (1987)
3527	Predator (1987)
1234	Sting, The (1973)
8798	Collateral (2004)
34162	Wedding Crashers (2005)
44199	Inside Man (2006)
1079	Fish Called Wanda, A (1988)
1393	Jerry Maguire (1996)
2268	Few Good Men, A (1992)
8970	Finding Neverland (2004)
4720	Others, The (2001)
5902	Adaptation (2002)
1954	Rocky (1976)
41566	Chronicles of Narnia: The Lion, the Witch and the Wardrobe, The (2005)
69757	(500) Days of Summer (2009)
54001	Harry Potter and the Order of the Phoenix (2007)
30793	Charlie and the Chocolate Factory (2005)
73017	Sherlock Holmes (2009)
7090	Hero (Ying xiong) (2002)
5010	Black Hawk Down (2001)
1266	Unforgiven (1992)
1199	Brazil (1985)
6378	Italian Job, The (2003)
71535	Zombieland (2009)
4848	Mulholland Drive (2001)
953	It's a Wonderful Life (1946)
745	Wallace & Gromit: A Close Shave (1995)
1262	Great Escape, The (1963)
3751	Chicken Run (2000)
68237	Moon (2009)
56782	There Will Be Blood (2007)
80463	Social Network, The (2010)
81591	Black Swan (2010)
1278	Young Frankenstein (1974)
4308	Moulin Rouge (2001)
357	Four Weddings and a Funeral (1994)
1748	Dark City (1998)
508	Philadelphia (1993)
5971	My Neighbor Totoro (Tonari no Totoro) (1988)
1997	Exorcist, The (1973)
3081	Sleepy Hollow (1999)
3408	Erin Brockovich (2000)
3160	Magnolia (1999)
38061	Kiss Kiss Bang Bang (2005)
55765	American Gangster (2007)
1230	Annie Hall (1977)
60684	Watchmen (2009)
55247	Into the Wild (2007)
39183	Brokeback Mountain (2005)
539	Sleepless in Seattle (1993)
76093	How to Train Your Dragon (2010)
587	Ghost (1990)
57669	In Bruges (2008)
1729	Jackie Brown (1997)
3471	Close Encounters of the Third Kind (1977)
6863	School of Rock (2003)
337	What's Eating Gilbert Grape (1993)
1127	Abyss, The (1989)
91529	Dark Knight Rises, The (2012)
4014	Chocolat (2000)
1884	Fear and Loathing in Las Vegas (1998)
1673	Boogie Nights (1997)
8622	Fahrenheit 9/11 (2004)
1304	Butch Cassidy and the Sundance Kid (1969)
5377	About a Boy (2002)
3671	Blazing Saddles (1974)
4776	Training Day (2001)
54997	3:10 to Yuma (2007)
4246	Bridget Jones's Diary (2001)
1233	Boot, Das (Boat, The) (1981)
34	Babe (1995)
2395	Rushmore (1998)
2321	Pleasantville (1998)
288	Natural Born Killers (1994)
76251	Kick-Ass (2010)
41997	Munich (2005)
1573	Face/Off (1997)
3421	Animal House (1978)
3448	Good Morning, Vietnam (1987)
2947	Goldfinger (1964)
33004	Hitchhiker's Guide to the Galaxy, The (2005)
2804	Christmas Story, A (1983)
2081	Little Mermaid, The (1989)
1250	Bridge on the River Kwai, The (1957)
1035	Sound of Music, The (1965)
52973	Knocked Up (2007)
33679	Mr. & Mrs. Smith (2005)
54272	Simpsons Movie, The (2007)
555	True Romance (1993)
30812	Aviator, The (2004)
30810	Life Aquatic with Steve Zissou, The (2004)
5679	Ring, The (2002)
5464	Road to Perdition (2002)
48738	Last King of Scotland, The (2006)
1466	Donnie Brasco (1997)
3911	Best in Show (2000)
1263	Deer Hunter, The (1978)
33660	Cinderella Man (2005)
1333	Birds, The (1963)
3535	American Psycho (2000)
1204	Lawrence of Arabia (1962)
6953	21 Grams (2003)
1380	Grease (1978)
4370	A.I. Artificial Intelligence (2001)
3253	Wayne's World (1992)
1921	Pi (1998)
31410	Downfall (Untergang, Der) (2004)
38038	Wallace & Gromit in The Curse of the Were-Rabbit (2005)
4085	Beverly Hills Cop (1984)
913	Maltese Falcon, The (1941)
2005	Goonies, The (1985)
3176	Talented Mr. Ripley, The (1999)
1028	Mary Poppins (1964)
54259	Stardust (2007)
39	Clueless (1995)
59784	Kung Fu Panda (2008)
1500	Grosse Pointe Blank (1997)
41569	King Kong (2005)
2712	Eyes Wide Shut (1999)
910	Some Like It Hot (1959)
1639	Chasing Amy (1997)
53996	Transformers (2007)
64839	Wrestler, The (2008)
2890	Three Kings (1999)
1276	Cool Hand Luke (1967)
4235	Amores Perros (Love's a Bitch) (2000)
34048	War of the Worlds (2005)
69844	Harry Potter and the Half-Blood Prince (2009)
3499	Misery (1990)
1274	Akira (1988)
1293	Gandhi (1982)
1228	Raging Bull (1980)
53125	Pirates of the Caribbean: At World's End (2007)
1394	Raising Arizona (1987)
3175	Galaxy Quest (1999)
88125	Harry Potter and the Deathly Hallows: Part 2 (2011)
1374	Star Trek II: The Wrath of Khan (1982)
5502	Signs (2002)
64957	Curious Case of Benjamin Button, The (2008)
1282	Fantasia (1940)
7022	Battle Royale (Batoru rowaiaru) (2000)
1223	Grand Day Out with Wallace and Gromit, A (1989)
69481	Hurt Locker, The (2008)
1358	Sling Blade (1996)
2985	RoboCop (1987)
2529	Planet of the Apes (1968)
1641	Full Monty, The (1997)
5991	Chicago (2002)
2640	Superman (1978)
37729	Corpse Bride (2005)
31878	Kung Fu Hustle (Gong fu) (2004)
594	Snow White and the Seven Dwarfs (1937)
2278	Ronin (1998)
81834	Harry Potter and the Deathly Hallows: Part 1 (2010)
899	Singin' in the Rain (1952)
2671	Notting Hill (1999)
2288	Thing, The (1982)
920	Gone with the Wind (1939)
46723	Babel (2006)
2710	Blair Witch Project, The (1999)
2076	Blue Velvet (1986)
39292	Good Night, and Good Luck. (2005)
6947	Master and Commander: The Far Side of the World (2003)
1242	Glory (1989)
5956	Gangs of New York (2002)
1408	Last of the Mohicans, The (1992)
87232	X-Men: First Class (2011)
8641	Anchorman: The Legend of Ron Burgundy (2004)
353	Crow, The (1994)
2657	Rocky Horror Picture Show, The (1975)
3418	Thelma & Louise (1991)
7293	50 First Dates (2004)
7323	Good bye, Lenin! (2003)
741	Ghost in the Shell (Kôkaku kidôtai) (1995)
51540	Zodiac (2007)
2761	Iron Giant, The (1999)
61323	Burn After Reading (2008)
2161	NeverEnding Story, The (1984)
454	Firm, The (1993)
82459	True Grit (2010)
77561	Iron Man 2 (2010)
3006	Insider, The (1999)
45517	Cars (2006)
79702	Scott Pilgrim vs. the World (2010)
6218	Bend It Like Beckham (2002)
914	My Fair Lady (1964)
235	Ed Wood (1994)
37733	History of Violence, A (2005)
72011	Up in the Air (2009)
8873	Motorcycle Diaries, The (Diarios de motocicleta) (2004)
8983	House of Flying Daggers (Shi mian mai fu) (2004)
8984	Ocean's Twelve (2004)
3552	Caddyshack (1980)
6787	All the President's Men (1976)
29	City of Lost Children, The (Cité des enfants perdus, La) (1995)
3967	Billy Elliot (2000)
3362	Dog Day Afternoon (1975)
52281	Grindhouse (2007)
36517	Constant Gardener, The (2005)
3703	Road Warrior, The (Mad Max 2) (1981)
2023	Godfather: Part III, The (1990)
1172	Cinema Paradiso (Nuovo cinema Paradiso) (1989)
47099	Pursuit of Happyness, The (2006)
58998	Forgetting Sarah Marshall (2008)
1407	Scream (1996)
3039	Trading Places (1983)
17	Sense and Sensibility (1995)
1302	Field of Dreams (1989)
37741	Capote (2005)
1339	Dracula (Bram Stoker's Dracula) (1992)
902	Breakfast at Tiffany's (1961)
8958	Ray (2004)
55118	Eastern Promises (2007)
36	Dead Man Walking (1995)
2951	Fistful of Dollars, A (Per un pugno di dollari) (1964)
6350	Laputa: Castle in the Sky (Tenkû no shiro Rapyuta) (1986)
2231	Rounders (1998)
7099	Nausicaä of the Valley of the Wind (Kaze no tani no Naushika) (1984)
2599	Election (1999)
1907	Mulan (1998)
25	Leaving Las Vegas (1995)
431	Carlito's Way (1993)
40629	Pride & Prejudice (2005)
2003	Gremlins (1984)
3681	For a Few Dollars More (Per qualche dollaro in più) (1965)
66097	Coraline (2009)
1967	Labyrinth (1986)
1059	William Shakespeare's Romeo + Juliet (1996)
41285	Match Point (2005)
1285	Heathers (1989)
61240	Let the Right One In (Låt den rätte komma in) (2008)
5954	25th Hour (2002)
1377	Batman Returns (1992)
3702	Mad Max (1979)
2006	Mask of Zorro, The (1998)
1261	Evil Dead II (Dead by Dawn) (1987)
2501	October Sky (1999)
1674	Witness (1985)
4571	Bill & Ted's Excellent Adventure (1989)
1175	Delicatessen (1991)
1376	Star Trek IV: The Voyage Home (1986)
1747	Wag the Dog (1997)
8528	Dodgeball: A True Underdog Story (2004)
2160	Rosemary's Baby (1968)
1249	Femme Nikita, La (Nikita) (1990)
4855	Dirty Harry (1971)
53322	Ocean's Thirteen (2007)
3255	League of Their Own, A (1992)
56757	Sweeney Todd: The Demon Barber of Fleet Street (2007)
2455	Fly, The (1986)
2871	Deliverance (1972)
21	Get Shorty (1995)
1212	Third Man, The (1949)
2080	Lady and the Tramp (1955)
596	Pinocchio (1940)
7373	Hellboy (2004)
2273	Rush Hour (1998)
3868	Naked Gun: From the Files of Police Squad!, The (1988)
1209	Once Upon a Time in the West (C'era una volta il West) (1968)
2313	Elephant Man, The (1980)
441	Dazed and Confused (1993)
553	Tombstone (1993)
1267	Manchurian Candidate, The (1962)
1235	Harold and Maude (1971)
3556	Virgin Suicides, The (1999)
3210	Fast Times at Ridgemont High (1982)
67255	Girl with the Dragon Tattoo, The (Män som hatar kvinnor) (2009)
2078	Jungle Book, The (1967)
7451	Mean Girls (2004)
1953	French Connection, The (1971)
922	Sunset Blvd. (a.k.a. Sunset Boulevard) (1950)
3386	JFK (1991)
6708	Matchstick Men (2003)
2908	Boys Don't Cry (1999)
55290	Gone Baby Gone (2007)
2105	Tron (1982)
2406	Romancing the Stone (1984)
4361	Tootsie (1982)
1032	Alice in Wonderland (1951)
6979	WarGames (1983)
5291	Rashomon (Rashômon) (1950)
1287	Ben-Hur (1959)
2248	Say Anything... (1989)
55276	Michael Clayton (2007)
88129	Drive (2011)
3105	Awakenings (1990)
969	African Queen, The (1951)
1244	Manhattan (1979)
53000	28 Weeks Later (2007)
27831	Layer Cake (2004)
8638	Before Sunset (2004)
2336	Elizabeth (1998)
5225	And Your Mother Too (Y tu mamá también) (2001)
4641	Ghost World (2001)
2144	Sixteen Candles (1984)
5690	Grave of the Fireflies (Hotaru no haka) (1988)
72226	Fantastic Mr. Fox (2009)
1271	Fried Green Tomatoes (1991)
2949	Dr. No (1962)
1060	Swingers (1996)
1088	Dirty Dancing (1987)
55269	Darjeeling Limited, The (2007)
5060	M*A*S*H (a.k.a. MASH) (1970)
1962	Driving Miss Daisy (1989)
1272	Patton (1970)
1994	Poltergeist (1982)
509	Piano, The (1993)
3300	Pitch Black (2000)
2420	Karate Kid, The (1984)
474	In the Line of Fire (1993)
1245	Miller's Crossing (1990)
8981	Closer (2004)
2948	From Russia with Love (1963)
27904	Scanner Darkly, A (2006)
2470	Crocodile Dundee (1986)
2944	Dirty Dozen, The (1967)
1022	Cinderella (1950)
968	Night of the Living Dead (1968)
34072	March of the Penguins (Marche de l'empereur, La) (2005)
2150	Gods Must Be Crazy, The (1980)
2294	Antz (1998)
3363	American Graffiti (1973)
63876	Milk (2008)
2427	Thin Red Line, The (1998)
2467	Name of the Rose, The (Name der Rose, Der) (1986)
3174	Man on the Moon (1999)
34437	Broken Flowers (2005)
1345	Carrie (1976)
1092	Basic Instinct (1992)
1183	English Patient, The (1996)
4002	Planes, Trains & Automobiles (1987)
57368	Cloverfield (2008)
61132	Tropic Thunder (2008)
5617	Secretary (2002)
1663	Stripes (1981)
2054	Honey, I Shrunk the Kids (1989)
475	In the Name of the Father (1993)
2058	Negotiator, The (1998)
26662	Kiki's Delivery Service (Majo no takkyûbin) (1989)
628	Primal Fear (1996)
2085	101 Dalmatians (One Hundred and One Dalmatians) (1961)
3435	Double Indemnity (1944)
3148	Cider House Rules, The (1999)
40583	Syriana (2005)
8914	Primer (2004)
8807	Harold and Kumar Go to White Castle (2004)
300	Quiz Show (1994)
1029	Dumbo (1941)
3101	Fatal Attraction (1987)
5673	Punch-Drunk Love (2002)
6867	Station Agent, The (2003)
2140	Dark Crystal, The (1982)
215	Before Sunrise (1995)
1947	West Side Story (1961)
832	Ransom (1996)
81562	127 Hours (2010)
2010	Metropolis (1927)
6796	Boyz N the Hood (1991)
5388	Insomnia (2002)
91658	Girl with the Dragon Tattoo, The (2011)
45950	Inconvenient Truth, An (2006)
55442	Persepolis (2007)
50068	Letters from Iwo Jima (2006)
48304	Apocalypto (2006)
2018	Bambi (1942)
3198	Papillon (1973)
81847	Tangled (2010)
1120	People vs. Larry Flynt, The (1996)
916	Roman Holiday (1953)
1960	Last Emperor, The (1987)
3462	Modern Times (1936)
954	Mr. Smith Goes to Washington (1939)
48043	Fountain, The (2006)
7387	Dawn of the Dead (1978)
109374	Grand Budapest Hotel, The (2014)
2109	Jerk, The (1979)
52722	Spider-Man 3 (2007)
1084	Bonnie and Clyde (1967)
89492	Moneyball (2011)
1321	American Werewolf in London, An (1981)
3504	Network (1976)
3396	Muppet Movie, The (1979)
2300	Producers, The (1968)
3108	Fisher King, The (1991)
86882	Midnight in Paris (2011)
81932	Fighter, The (2010)
6440	Barton Fink (1991)
1094	Crying Game, The (1992)
6565	Seabiscuit (2003)
2186	Strangers on a Train (1951)
6773	Triplets of Belleville, The (Les triplettes de Belleville) (2003)
2407	Cocoon (1985)
2968	Time Bandits (1981)
5266	Panic Room (2002)
3030	Yojimbo (1961)
1269	Arsenic and Old Lace (1944)
45186	Mission: Impossible III (2006)
2087	Peter Pan (1953)
53123	Once (2006)
5878	Talk to Her (Hable con Ella) (2002)
80489	Town, The (2010)
4007	Wall Street (1987)
5945	About Schmidt (2002)
3424	Do the Right Thing (1989)
7371	Dogville (2003)
52328	Sunshine (2007)
53519	Death Proof (2007)
497	Much Ado About Nothing (1993)
2728	Spartacus (1960)
55052	Atonement (2007)
3755	Perfect Storm, The (2000)
2795	National Lampoon's Vacation (1983)
3683	Blood Simple (1984)
307	Three Colors: Blue (Trois couleurs: Bleu) (1993)
1680	Sliding Doors (1998)
5013	Gosford Park (2001)
1086	Dial M for Murder (1954)
2020	Dangerous Liaisons (1988)
4326	Mississippi Burning (1988)
2403	First Blood (Rambo: First Blood) (1982)
54995	Planet Terror (2007)
3317	Wonder Boys (2000)
1945	On the Waterfront (1954)
44694	Volver (2006)
6620	American Splendor (2003)
1231	Right Stuff, The (1983)
898	Philadelphia Story, The (1940)
6957	Bad Santa (2003)
1253	Day the Earth Stood Still, The (1951)
46530	Superman Returns (2006)
61024	Pineapple Express (2008)
4327	Magnificent Seven, The (1960)
306	Three Colors: Red (Trois couleurs: Rouge) (1994)
64620	Frost/Nixon (2008)
86332	Thor (2011)
3624	Shanghai Noon (2000)
2746	Little Shop of Horrors (1986)
3168	Easy Rider (1969)
440	Dave (1993)
1952	Midnight Cowboy (1969)
1104	Streetcar Named Desire, A (1951)
4881	Man Who Wasn't There, The (2001)
8228	Maltese Falcon, The (a.k.a. Dangerous Female) (1931)
1347	Nightmare on Elm Street, A (1984)
11	American President, The (1995)
7160	Monster (2003)
5810	8 Mile (2002)
1372	Star Trek VI: The Undiscovered Country (1991)
1982	Halloween (1978)
47629	Queen, The (2006)
1569	My Best Friend's Wedding (1997)
2096	Sleeping Beauty (1959)
89864	50/50 (2011)
8340	Escape from Alcatraz (1979)
2915	Risky Business (1983)
60040	Incredible Hulk, The (2008)
7156	Fog of War: Eleven Lessons from the Life of Robert S. McNamara, The (2003)
1227	Once Upon a Time in America (1984)
661	James and the Giant Peach (1996)
3083	All About My Mother (Todo sobre mi madre) (1999)
7482	Enter the Dragon (1973)
48082	Science of Sleep, The (La science des rêves) (2006)
2145	Pretty in Pink (1986)
784	Cable Guy, The (1996)
1281	Great Dictator, The (1940)
1357	Shine (1996)
3361	Bull Durham (1988)
6283	Cowboy Bebop: The Movie (Cowboy Bebop: Tengoku no Tobira) (2001)
5444	Lilo & Stitch (2002)
1449	Waiting for Guffman (1996)
56788	Charlie Wilson's War (2007)
33162	Kingdom of Heaven (2005)
2359	Waking Ned Devine (a.k.a. Waking Ned) (1998)
3735	Serpico (1973)
44761	Brick (2005)
2686	Red Violin, The (Violon rouge, Le) (1998)
345	Adventures of Priscilla, Queen of the Desert, The (1994)
785	Kingpin (1996)
529	Searching for Bobby Fischer (1993)
88140	Captain America: The First Avenger (2011)
5992	Hours, The (2002)
74789	Alice in Wonderland (2010)
342	Muriel's Wedding (1994)
909	Apartment, The (1960)
1129	Escape from New York (1981)
1464	Lost Highway (1997)
1103	Rebel Without a Cause (1955)
1284	Big Sleep, The (1946)
53894	Sicko (2007)
55280	Lars and the Real Girl (2007)
1260	M (1931)
1237	Seventh Seal, The (Sjunde inseglet, Det) (1957)
58	Postman, The (Postino, Il) (1994)
1095	Glengarry Glen Ross (1992)
3910	Dancer in the Dark (2000)
3034	Robin Hood (1973)
410	Addams Family Values (1993)
67087	I Love You, Man (2009)
1217	Ran (1985)
1957	Chariots of Fire (1981)
88163	Crazy, Stupid, Love. (2011)
8645	Maria Full of Grace (Maria, Llena eres de gracia) (2004)
6385	Whale Rider (2002)
1178	Paths of Glory (1957)
319	Shallow Grave (1994)
56152	Enchanted (2007)
4873	Waking Life (2001)
3360	Hoosiers (a.k.a. Best Shot) (1986)
616	Aristocats, The (1970)
38886	Squid and the Whale, The (2005)
1299	Killing Fields, The (1984)
1186	Sex, Lies, and Videotape (1989)
26776	Porco Rosso (Crimson Pig) (Kurenai no buta) (1992)
3468	Hustler, The (1961)
531	Secret Garden, The (1993)
3730	Conversation, The (1974)
3328	Ghost Dog: The Way of the Samurai (1999)
7162	Cold Mountain (2003)
261	Little Women (1994)
2739	Color Purple, The (1985)
7981	Infernal Affairs (Mou gaan dou) (2002)
2366	King Kong (1933)
58295	Bank Job, The (2008)
3246	Malcolm X (1992)
1350	Omen, The (1976)
5015	Monster's Ball (2001)
3809	What About Bob? (1991)
3100	River Runs Through It, A (1992)
6331	Spellbound (2002)
57640	Hellboy II: The Golden Army (2008)
1292	Being There (1979)
2064	Roger & Me (1989)
27721	Very Long Engagement, A (Un long dimanche de fiançailles) (2004)
44022	Ice Age 2: The Meltdown (2006)
838	Emma (1996)
5254	Blade II (2002)
7256	Touching the Void (2003)
91630	Mission: Impossible - Ghost Protocol (2011)
60072	Wanted (2008)
915	Sabrina (1954)
926	All About Eve (1950)
428	Bronx Tale, A (1993)
60950	Vicky Cristina Barcelona (2008)
3098	Natural, The (1984)
247	Heavenly Creatures (1994)
101	Bottle Rocket (1996)
77455	Exit Through the Gift Shop (2010)
2100	Splash (1984)
2139	Secret of NIMH, The (1982)
1254	Treasure of the Sierra Madre, The (1948)
3089	Bicycle Thieves (a.k.a. The Bicycle Thief) (a.k.a. The Bicycle Thieves) (Ladri di biciclette) (1948)
1185	My Left Foot (1989)
2067	Doctor Zhivago (1965)
1256	Duck Soup (1933)
2594	Open Your Eyes (Abre los ojos) (1997)
2371	Fletch (1985)
930	Notorious (1946)
53953	1408 (2007)
2398	Miracle on 34th Street (1947)
4103	Empire of the Sun (1987)
56339	Orphanage, The (Orfanato, El) (2007)
2872	Excalibur (1981)
34542	Grizzly Man (2005)
2318	Happiness (1998)
1635	Ice Storm, The (1997)
2641	Superman II (1980)
1912	Out of Sight (1998)
55814	Diving Bell and the Butterfly, The (Scaphandre et le papillon, Le) (2007)
3072	Moonstruck (1987)
1805	Wild Things (1998)
515	Remains of the Day, The (1993)
928	Rebecca (1940)
1077	Sleeper (1973)
1955	Kramer vs. Kramer (1979)
1411	Hamlet (1996)
1188	Strictly Ballroom (1992)
6662	Pink Panther, The (1963)
46970	Talladega Nights: The Ballad of Ricky Bobby (2006)
4499	Dirty Rotten Scoundrels (1988)
911	Charade (1963)
6993	Hannah and Her Sisters (1986)
45431	Over the Hedge (2006)
308	Three Colors: White (Trzy kolory: Bialy) (1994)
3267	Mariachi, El (1992)
714	Dead Man (1995)
8014	Spring, Summer, Fall, Winter... and Spring (Bom yeoreum gaeul gyeoul geurigo bom) (2003)
5049	48 Hrs. (1982)
1283	High Noon (1952)
55363	Assassination of Jesse James by the Coward Robert Ford, The (2007)
2391	Simple Plan, A (1998)
3984	Diamonds Are Forever (1971)
6003	Confessions of a Dangerous Mind (2002)
933	To Catch a Thief (1955)
52604	Fracture (2007)
175	Kids (1995)
