item	genre
541	Sci-Fi
541	Thriller
1240	Action
1240	Sci-Fi
1240	Thriller
1213	Crime
1213	Drama
1265	Comedy
1265	Fantasy
1265	Romance
1682	Comedy
1682	Drama
1682	Sci-Fi
1036	Action
1036	Crime
1036	Thriller
5989	Crime
5989	Drama
364	Adventure
364	Animation
364	Children
364	Drama
364	Musical
3793	Action
3793	Adventure
3793	Sci-Fi
150	Adventure
150	Drama
1527	Action
1527	Adventure
1527	Comedy
1527	Sci-Fi
6016	Action
6016	Adventure
6016	Crime
6016	Drama
6016	Thriller
5349	Action
5349	Adventure
5349	Sci-Fi
5349	Thriller
60069	Adventure
60069	Animation
60069	Children
60069	Romance
60069	Sci-Fi
293	Action
293	Crime
293	Drama
293	Thriller
1258	Horror
2997	Comedy
2997	Drama
2997	Fantasy
3996	Action
3996	Drama
3996	Romance
2502	Comedy
2502	Crime
1206	Crime
1206	Drama
1206	Sci-Fi
1206	Thriller
49272	Action
49272	Adventure
49272	Thriller
457	Thriller
59315	Action
59315	Adventure
59315	Sci-Fi
2716	Action
2716	Comedy
2716	Sci-Fi
1961	Drama
46578	Adventure
46578	Comedy
46578	Drama
48780	Drama
48780	Mystery
48780	Sci-Fi
48780	Thriller
48394	Drama
48394	Fantasy
48394	Thriller
1732	Comedy
1732	Crime
778	Comedy
778	Crime
778	Drama
1222	Drama
1222	War
1200	Action
1200	Adventure
1200	Horror
1200	Sci-Fi
5618	Adventure
5618	Animation
5618	Fantasy
750	Comedy
750	War
1208	Action
1208	Drama
1208	War
2918	Comedy
54286	Action
54286	Crime
54286	Thriller
8665	Action
8665	Crime
8665	Thriller
1721	Drama
1721	Romance
3949	Drama
1097	Children
1097	Drama
1097	Sci-Fi
6711	Comedy
6711	Drama
6711	Romance
588	Adventure
588	Animation
588	Children
588	Comedy
588	Musical
912	Drama
912	Romance
4027	Adventure
4027	Comedy
4027	Crime
56367	Comedy
56367	Drama
56367	Romance
55820	Crime
55820	Drama
8874	Comedy
8874	Horror
2291	Drama
2291	Fantasy
2291	Romance
8636	Action
8636	Adventure
8636	Sci-Fi
592	Action
592	Crime
592	Thriller
924	Adventure
924	Drama
924	Sci-Fi
111	Crime
111	Drama
111	Thriller
8368	Adventure
8368	Fantasy
68157	Action
68157	Drama
68157	War
1080	Comedy
2115	Action
2115	Adventure
2115	Fantasy
68954	Adventure
68954	Animation
68954	Children
68954	Drama
7147	Drama
7147	Fantasy
7147	Romance
1617	Crime
1617	Film-Noir
1617	Mystery
1617	Thriller
33493	Action
33493	Adventure
33493	Sci-Fi
3114	Adventure
3114	Animation
3114	Children
3114	Comedy
3114	Fantasy
6333	Action
6333	Adventure
6333	Sci-Fi
6333	Thriller
8360	Adventure
8360	Animation
8360	Children
8360	Comedy
8360	Musical
8360	Romance
1246	Drama
63082	Crime
63082	Drama
63082	Romance
2542	Comedy
2542	Crime
2542	Thriller
2324	Comedy
2324	Drama
2324	Romance
2324	War
40815	Adventure
40815	Fantasy
40815	Thriller
590	Adventure
590	Drama
590	Western
6502	Action
6502	Horror
6502	Sci-Fi
72998	Action
72998	Adventure
72998	Sci-Fi
4896	Adventure
4896	Children
4896	Fantasy
48774	Action
48774	Adventure
48774	Drama
48774	Sci-Fi
48774	Thriller
648	Action
648	Adventure
648	Mystery
648	Thriller
4022	Drama
33166	Crime
33166	Drama
50872	Animation
50872	Children
50872	Drama
1073	Children
1073	Comedy
1073	Fantasy
1073	Musical
30749	Drama
30749	War
1968	Comedy
1968	Drama
1653	Drama
1653	Sci-Fi
1653	Thriller
3897	Drama
904	Mystery
904	Thriller
1923	Comedy
1923	Romance
5995	Drama
5995	War
1203	Drama
30707	Drama
2692	Action
2692	Crime
1225	Drama
1219	Crime
1219	Horror
35836	Comedy
35836	Romance
377	Action
377	Romance
377	Thriller
70286	Mystery
70286	Sci-Fi
70286	Thriller
595	Animation
595	Children
595	Fantasy
595	Musical
595	Romance
68358	Action
68358	Adventure
68358	Sci-Fi
919	Adventure
919	Children
919	Fantasy
919	Musical
1784	Comedy
1784	Drama
1784	Romance
5816	Adventure
5816	Fantasy
34405	Action
34405	Adventure
34405	Sci-Fi
223	Comedy
1610	Action
1610	Adventure
1610	Thriller
1201	Action
1201	Adventure
1201	Western
1517	Action
1517	Adventure
1517	Comedy
165	Action
165	Crime
165	Thriller
1259	Adventure
1259	Drama
51255	Action
51255	Comedy
51255	Crime
51255	Mystery
1387	Action
1387	Horror
45722	Action
45722	Adventure
45722	Fantasy
44195	Comedy
44195	Drama
8784	Comedy
8784	Drama
8784	Romance
4034	Crime
4034	Drama
4034	Thriller
4262	Action
4262	Crime
4262	Drama
2791	Comedy
597	Comedy
597	Romance
5669	Documentary
69122	Comedy
69122	Crime
551	Animation
551	Children
551	Fantasy
551	Musical
2706	Comedy
2706	Romance
49530	Action
49530	Adventure
49530	Crime
49530	Drama
49530	Thriller
49530	War
1220	Action
1220	Comedy
1220	Musical
2174	Comedy
2174	Fantasy
923	Drama
923	Mystery
2987	Adventure
2987	Animation
2987	Children
2987	Comedy
2987	Crime
2987	Fantasy
2987	Mystery
64614	Crime
64614	Drama
6	Action
6	Crime
6	Thriller
1148	Animation
1148	Children
1148	Comedy
1148	Crime
4979	Comedy
4979	Drama
231	Adventure
231	Comedy
3481	Comedy
3481	Drama
3481	Romance
2916	Action
2916	Adventure
2916	Sci-Fi
2916	Thriller
40819	Drama
40819	Musical
40819	Romance
2194	Action
2194	Crime
2194	Drama
27773	Mystery
27773	Thriller
44555	Drama
44555	Romance
44555	Thriller
1307	Comedy
1307	Romance
3000	Action
3000	Adventure
3000	Animation
3000	Drama
3000	Fantasy
54503	Comedy
2700	Animation
2700	Comedy
2700	Musical
2797	Comedy
2797	Drama
2797	Fantasy
2797	Romance
1090	Drama
1090	War
48385	Comedy
16	Crime
16	Drama
908	Action
908	Adventure
908	Mystery
908	Romance
908	Thriller
6942	Comedy
6942	Drama
6942	Romance
47610	Drama
47610	Fantasy
47610	Mystery
47610	Romance
46976	Comedy
46976	Drama
46976	Fantasy
46976	Romance
1252	Crime
1252	Film-Noir
1252	Mystery
1252	Thriller
2396	Comedy
2396	Drama
2396	Romance
367	Action
367	Comedy
367	Crime
367	Fantasy
1207	Drama
1584	Drama
1584	Sci-Fi
6870	Crime
6870	Drama
6870	Mystery
2355	Adventure
2355	Animation
2355	Children
2355	Comedy
8464	Comedy
8464	Documentary
8464	Drama
586	Children
586	Comedy
6807	Comedy
74458	Drama
74458	Mystery
74458	Thriller
1288	Comedy
31658	Adventure
31658	Animation
31658	Fantasy
31658	Romance
2019	Action
2019	Adventure
2019	Drama
81845	Drama
8949	Comedy
8949	Drama
8949	Romance
903	Drama
903	Mystery
903	Romance
903	Thriller
78499	Adventure
78499	Animation
78499	Children
78499	Comedy
78499	Fantasy
1247	Comedy
1247	Drama
1247	Romance
2000	Action
2000	Comedy
2000	Crime
2000	Drama
3527	Action
3527	Sci-Fi
3527	Thriller
1234	Comedy
1234	Crime
8798	Action
8798	Crime
8798	Drama
8798	Thriller
34162	Comedy
34162	Romance
44199	Crime
44199	Drama
44199	Thriller
1079	Comedy
1079	Crime
1393	Drama
1393	Romance
2268	Crime
2268	Drama
2268	Thriller
8970	Drama
4720	Drama
4720	Horror
4720	Mystery
4720	Thriller
5902	Comedy
5902	Drama
5902	Romance
1954	Drama
41566	Adventure
41566	Children
41566	Fantasy
69757	Comedy
69757	Drama
69757	Romance
54001	Adventure
54001	Drama
54001	Fantasy
30793	Adventure
30793	Children
30793	Comedy
30793	Fantasy
73017	Action
73017	Crime
73017	Mystery
73017	Thriller
7090	Action
7090	Adventure
7090	Drama
5010	Action
5010	Drama
5010	War
1266	Drama
1266	Western
1199	Fantasy
1199	Sci-Fi
6378	Action
6378	Crime
71535	Action
71535	Comedy
71535	Horror
4848	Crime
4848	Drama
4848	Film-Noir
4848	Mystery
4848	Thriller
953	Drama
953	Fantasy
953	Romance
745	Animation
745	Children
745	Comedy
1262	Action
1262	Adventure
1262	Drama
1262	War
3751	Animation
3751	Children
3751	Comedy
68237	Drama
68237	Mystery
68237	Sci-Fi
68237	Thriller
56782	Drama
56782	Western
80463	Drama
81591	Drama
81591	Thriller
1278	Comedy
1278	Fantasy
4308	Drama
4308	Musical
4308	Romance
357	Comedy
357	Romance
1748	Adventure
1748	Film-Noir
1748	Sci-Fi
1748	Thriller
508	Drama
5971	Animation
5971	Children
5971	Drama
5971	Fantasy
1997	Horror
1997	Mystery
3081	Fantasy
3081	Horror
3081	Mystery
3081	Romance
3408	Drama
3160	Drama
38061	Comedy
38061	Crime
38061	Mystery
38061	Thriller
55765	Crime
55765	Drama
55765	Thriller
1230	Comedy
1230	Romance
60684	Action
60684	Drama
60684	Mystery
60684	Sci-Fi
60684	Thriller
55247	Action
55247	Adventure
55247	Drama
39183	Drama
39183	Romance
539	Comedy
539	Drama
539	Romance
76093	Adventure
76093	Animation
76093	Children
76093	Fantasy
587	Comedy
587	Drama
587	Fantasy
587	Romance
587	Thriller
57669	Comedy
57669	Crime
57669	Drama
57669	Thriller
1729	Crime
1729	Drama
1729	Thriller
3471	Adventure
3471	Drama
3471	Sci-Fi
6863	Comedy
6863	Musical
337	Drama
1127	Action
1127	Adventure
1127	Sci-Fi
1127	Thriller
91529	Action
91529	Adventure
91529	Crime
4014	Drama
4014	Romance
1884	Adventure
1884	Comedy
1884	Drama
1673	Drama
8622	Documentary
1304	Action
1304	Western
5377	Comedy
5377	Drama
5377	Romance
3671	Comedy
3671	Western
4776	Crime
4776	Drama
4776	Thriller
54997	Action
54997	Crime
54997	Drama
54997	Western
4246	Comedy
4246	Drama
4246	Romance
1233	Action
1233	Drama
1233	War
34	Children
34	Drama
2395	Comedy
2395	Drama
2321	Comedy
2321	Drama
2321	Fantasy
288	Action
288	Crime
288	Thriller
76251	Action
76251	Comedy
41997	Action
41997	Crime
41997	Drama
41997	Thriller
1573	Action
1573	Crime
1573	Drama
1573	Thriller
3421	Comedy
3448	Comedy
3448	Drama
3448	War
2947	Action
2947	Adventure
2947	Thriller
33004	Adventure
33004	Comedy
33004	Sci-Fi
2804	Children
2804	Comedy
2081	Animation
2081	Children
2081	Comedy
2081	Musical
2081	Romance
1250	Adventure
1250	Drama
1250	War
1035	Musical
1035	Romance
52973	Comedy
52973	Drama
52973	Romance
33679	Action
33679	Adventure
33679	Comedy
33679	Romance
54272	Animation
54272	Comedy
555	Crime
555	Thriller
30812	Drama
30810	Adventure
30810	Comedy
30810	Fantasy
5679	Horror
5679	Mystery
5679	Thriller
5464	Crime
5464	Drama
48738	Drama
48738	Thriller
1466	Crime
1466	Drama
3911	Comedy
1263	Drama
1263	War
33660	Drama
33660	Romance
1333	Horror
1333	Thriller
3535	Crime
3535	Horror
3535	Mystery
3535	Thriller
1204	Adventure
1204	Drama
1204	War
6953	Crime
6953	Drama
6953	Mystery
6953	Romance
6953	Thriller
1380	Comedy
1380	Musical
1380	Romance
4370	Adventure
4370	Drama
4370	Sci-Fi
3253	Comedy
1921	Drama
1921	Sci-Fi
1921	Thriller
31410	Drama
31410	War
38038	Adventure
38038	Animation
38038	Children
38038	Comedy
4085	Action
4085	Comedy
4085	Crime
4085	Drama
913	Film-Noir
913	Mystery
2005	Action
2005	Adventure
2005	Children
2005	Comedy
2005	Fantasy
3176	Drama
3176	Mystery
3176	Thriller
1028	Children
1028	Comedy
1028	Fantasy
1028	Musical
54259	Adventure
54259	Comedy
54259	Fantasy
54259	Romance
39	Comedy
39	Romance
59784	Action
59784	Animation
59784	Children
59784	Comedy
1500	Comedy
1500	Crime
1500	Romance
41569	Action
41569	Adventure
41569	Drama
41569	Fantasy
41569	Thriller
2712	Drama
2712	Mystery
2712	Thriller
910	Comedy
910	Crime
1639	Comedy
1639	Drama
1639	Romance
53996	Action
53996	Sci-Fi
53996	Thriller
64839	Drama
2890	Action
2890	Adventure
2890	Comedy
2890	Drama
2890	War
1276	Drama
4235	Drama
4235	Thriller
34048	Action
34048	Adventure
34048	Sci-Fi
34048	Thriller
69844	Adventure
69844	Fantasy
69844	Mystery
69844	Romance
3499	Drama
3499	Horror
3499	Thriller
1274	Action
1274	Adventure
1274	Animation
1274	Sci-Fi
1293	Drama
1228	Drama
53125	Action
53125	Adventure
53125	Comedy
53125	Fantasy
1394	Comedy
3175	Adventure
3175	Comedy
3175	Sci-Fi
88125	Action
88125	Adventure
88125	Drama
88125	Fantasy
88125	Mystery
1374	Action
1374	Adventure
1374	Sci-Fi
1374	Thriller
5502	Horror
5502	Sci-Fi
5502	Thriller
64957	Drama
64957	Fantasy
64957	Mystery
64957	Romance
1282	Animation
1282	Children
1282	Fantasy
1282	Musical
7022	Action
7022	Drama
7022	Horror
7022	Thriller
1223	Adventure
1223	Animation
1223	Children
1223	Comedy
1223	Sci-Fi
69481	Action
69481	Drama
69481	Thriller
69481	War
1358	Drama
2985	Action
2985	Crime
2985	Drama
2985	Sci-Fi
2985	Thriller
2529	Action
2529	Drama
2529	Sci-Fi
1641	Comedy
1641	Drama
5991	Comedy
5991	Crime
5991	Drama
5991	Musical
2640	Action
2640	Adventure
2640	Sci-Fi
37729	Animation
37729	Comedy
37729	Fantasy
37729	Musical
37729	Romance
31878	Action
31878	Comedy
594	Animation
594	Children
594	Drama
594	Fantasy
594	Musical
2278	Action
2278	Crime
2278	Thriller
81834	Action
81834	Adventure
81834	Fantasy
899	Comedy
899	Musical
899	Romance
2671	Comedy
2671	Romance
2288	Action
2288	Horror
2288	Sci-Fi
2288	Thriller
920	Drama
920	Romance
920	War
46723	Drama
46723	Thriller
2710	Drama
2710	Horror
2710	Thriller
2076	Drama
2076	Mystery
2076	Thriller
39292	Crime
39292	Drama
6947	Adventure
6947	Drama
6947	War
1242	Drama
1242	War
5956	Crime
5956	Drama
1408	Action
1408	Romance
1408	War
1408	Western
87232	Action
87232	Adventure
87232	Sci-Fi
87232	Thriller
87232	War
8641	Comedy
353	Action
353	Crime
353	Fantasy
353	Thriller
2657	Comedy
2657	Horror
2657	Musical
2657	Sci-Fi
3418	Adventure
3418	Crime
3418	Drama
7293	Comedy
7293	Romance
7323	Comedy
7323	Drama
741	Animation
741	Sci-Fi
51540	Crime
51540	Drama
51540	Thriller
2761	Adventure
2761	Animation
2761	Children
2761	Drama
2761	Sci-Fi
61323	Comedy
61323	Crime
61323	Drama
2161	Adventure
2161	Children
2161	Fantasy
454	Drama
454	Thriller
82459	Western
77561	Action
77561	Adventure
77561	Sci-Fi
77561	Thriller
3006	Drama
3006	Thriller
45517	Animation
45517	Children
45517	Comedy
79702	Action
79702	Comedy
79702	Fantasy
79702	Musical
79702	Romance
6218	Comedy
6218	Drama
6218	Romance
914	Comedy
914	Drama
914	Musical
914	Romance
235	Comedy
235	Drama
37733	Action
37733	Crime
37733	Drama
37733	Thriller
72011	Drama
72011	Romance
8873	Adventure
8873	Drama
8983	Action
8983	Drama
8983	Romance
8984	Action
8984	Comedy
8984	Crime
8984	Thriller
3552	Comedy
6787	Drama
6787	Thriller
29	Adventure
29	Drama
29	Fantasy
29	Mystery
29	Sci-Fi
3967	Drama
3362	Crime
3362	Drama
52281	Action
52281	Crime
52281	Horror
52281	Sci-Fi
52281	Thriller
36517	Drama
36517	Thriller
3703	Action
3703	Adventure
3703	Sci-Fi
2023	Crime
2023	Drama
2023	Mystery
2023	Thriller
1172	Drama
47099	Drama
58998	Comedy
58998	Romance
1407	Comedy
1407	Horror
1407	Mystery
1407	Thriller
3039	Comedy
17	Drama
17	Romance
1302	Children
1302	Drama
1302	Fantasy
37741	Crime
37741	Drama
1339	Fantasy
1339	Horror
1339	Romance
1339	Thriller
902	Drama
902	Romance
8958	Drama
55118	Crime
55118	Drama
55118	Thriller
36	Crime
36	Drama
2951	Action
2951	Western
6350	Action
6350	Adventure
6350	Animation
6350	Children
6350	Fantasy
6350	Sci-Fi
2231	Drama
7099	Adventure
7099	Animation
7099	Drama
7099	Fantasy
7099	Sci-Fi
2599	Comedy
1907	Adventure
1907	Animation
1907	Children
1907	Comedy
1907	Drama
1907	Musical
1907	Romance
25	Drama
25	Romance
431	Crime
431	Drama
40629	Drama
40629	Romance
2003	Comedy
2003	Horror
3681	Action
3681	Drama
3681	Thriller
3681	Western
66097	Animation
66097	Fantasy
66097	Thriller
1967	Adventure
1967	Fantasy
1967	Musical
1059	Drama
1059	Romance
41285	Crime
41285	Drama
41285	Romance
1285	Comedy
61240	Drama
61240	Fantasy
61240	Horror
61240	Romance
5954	Crime
5954	Drama
1377	Action
1377	Crime
3702	Action
3702	Adventure
3702	Sci-Fi
2006	Action
2006	Comedy
2006	Romance
1261	Action
1261	Comedy
1261	Fantasy
1261	Horror
2501	Drama
1674	Drama
1674	Romance
1674	Thriller
4571	Adventure
4571	Comedy
4571	Sci-Fi
1175	Comedy
1175	Drama
1175	Romance
1376	Adventure
1376	Comedy
1376	Sci-Fi
1747	Comedy
8528	Comedy
2160	Drama
2160	Horror
2160	Thriller
1249	Action
1249	Crime
1249	Romance
1249	Thriller
4855	Action
4855	Crime
4855	Thriller
53322	Crime
53322	Thriller
3255	Comedy
3255	Drama
56757	Drama
56757	Horror
56757	Musical
56757	Thriller
2455	Drama
2455	Horror
2455	Sci-Fi
2455	Thriller
2871	Adventure
2871	Drama
2871	Thriller
21	Comedy
21	Crime
21	Thriller
1212	Film-Noir
1212	Mystery
1212	Thriller
2080	Animation
2080	Children
2080	Comedy
2080	Romance
596	Animation
596	Children
596	Fantasy
596	Musical
7373	Action
7373	Adventure
7373	Fantasy
7373	Horror
2273	Action
2273	Comedy
2273	Crime
2273	Thriller
3868	Action
3868	Comedy
3868	Crime
3868	Romance
1209	Action
1209	Drama
1209	Western
2313	Drama
441	Comedy
553	Action
553	Drama
553	Western
1267	Crime
1267	Thriller
1267	War
1235	Comedy
1235	Drama
1235	Romance
3556	Drama
3556	Romance
3210	Comedy
3210	Drama
3210	Romance
67255	Crime
67255	Drama
67255	Mystery
67255	Thriller
2078	Animation
2078	Children
2078	Comedy
2078	Musical
7451	Comedy
1953	Action
1953	Crime
1953	Thriller
922	Drama
922	Film-Noir
922	Romance
3386	Drama
3386	Mystery
3386	Thriller
6708	Comedy
6708	Crime
6708	Drama
2908	Drama
55290	Crime
55290	Drama
55290	Mystery
2105	Action
2105	Adventure
2105	Sci-Fi
2406	Action
2406	Adventure
2406	Comedy
2406	Romance
4361	Comedy
4361	Romance
1032	Adventure
1032	Animation
1032	Children
1032	Fantasy
1032	Musical
6979	Drama
6979	Sci-Fi
6979	Thriller
5291	Crime
5291	Drama
5291	Mystery
1287	Action
1287	Adventure
1287	Drama
2248	Comedy
2248	Drama
2248	Romance
55276	Drama
55276	Thriller
88129	Crime
88129	Drama
88129	Film-Noir
88129	Thriller
3105	Drama
3105	Mystery
969	Adventure
969	Comedy
969	Romance
969	War
1244	Comedy
1244	Drama
1244	Romance
53000	Horror
53000	Sci-Fi
53000	Thriller
27831	Crime
27831	Drama
27831	Thriller
8638	Drama
8638	Romance
2336	Drama
5225	Drama
5225	Romance
4641	Comedy
4641	Drama
2144	Comedy
2144	Romance
5690	Animation
5690	Drama
5690	War
72226	Adventure
72226	Animation
72226	Children
72226	Comedy
72226	Crime
1271	Comedy
1271	Crime
1271	Drama
2949	Action
2949	Adventure
2949	Thriller
1060	Comedy
1060	Drama
1088	Drama
1088	Musical
1088	Romance
55269	Adventure
55269	Comedy
55269	Drama
5060	Comedy
5060	Drama
5060	War
1962	Drama
1272	Drama
1272	War
1994	Horror
1994	Thriller
509	Drama
509	Romance
3300	Horror
3300	Sci-Fi
3300	Thriller
2420	Drama
474	Action
474	Thriller
1245	Crime
1245	Drama
1245	Film-Noir
1245	Thriller
8981	Drama
8981	Romance
2948	Action
2948	Adventure
2948	Thriller
27904	Animation
27904	Drama
27904	Mystery
27904	Sci-Fi
27904	Thriller
2470	Adventure
2470	Comedy
2944	Action
2944	Drama
2944	War
1022	Animation
1022	Children
1022	Fantasy
1022	Musical
1022	Romance
968	Horror
968	Sci-Fi
968	Thriller
34072	Documentary
2150	Adventure
2150	Comedy
2294	Adventure
2294	Animation
2294	Children
2294	Comedy
2294	Fantasy
3363	Comedy
3363	Drama
63876	Drama
2427	Action
2427	Drama
2427	War
2467	Crime
2467	Drama
2467	Mystery
2467	Thriller
3174	Comedy
3174	Drama
34437	Comedy
34437	Drama
1345	Drama
1345	Fantasy
1345	Horror
1345	Thriller
1092	Crime
1092	Mystery
1092	Thriller
1183	Drama
1183	Romance
1183	War
4002	Comedy
57368	Action
57368	Mystery
57368	Sci-Fi
57368	Thriller
61132	Action
61132	Adventure
61132	Comedy
61132	War
5617	Comedy
5617	Drama
5617	Romance
1663	Comedy
1663	War
2054	Adventure
2054	Children
2054	Comedy
2054	Fantasy
2054	Sci-Fi
475	Drama
2058	Action
2058	Crime
2058	Drama
2058	Mystery
2058	Thriller
26662	Adventure
26662	Animation
26662	Children
26662	Drama
26662	Fantasy
628	Crime
628	Drama
628	Mystery
628	Thriller
2085	Adventure
2085	Animation
2085	Children
3435	Crime
3435	Drama
3435	Film-Noir
3148	Drama
40583	Drama
40583	Thriller
8914	Drama
8914	Sci-Fi
8807	Adventure
8807	Comedy
300	Drama
1029	Animation
1029	Children
1029	Drama
1029	Musical
3101	Drama
3101	Thriller
5673	Comedy
5673	Drama
5673	Romance
6867	Comedy
6867	Drama
2140	Adventure
2140	Fantasy
215	Drama
215	Romance
1947	Drama
1947	Musical
1947	Romance
832	Crime
832	Thriller
81562	Adventure
81562	Drama
81562	Thriller
2010	Drama
2010	Sci-Fi
6796	Crime
6796	Drama
5388	Action
5388	Crime
5388	Drama
5388	Mystery
5388	Thriller
91658	Drama
91658	Thriller
45950	Documentary
55442	Animation
55442	Drama
50068	Drama
50068	War
48304	Adventure
48304	Drama
48304	Thriller
2018	Animation
2018	Children
2018	Drama
3198	Crime
3198	Drama
81847	Animation
81847	Children
81847	Comedy
81847	Fantasy
81847	Musical
81847	Romance
1120	Comedy
1120	Drama
916	Comedy
916	Drama
916	Romance
1960	Drama
3462	Comedy
3462	Drama
3462	Romance
954	Drama
48043	Drama
48043	Fantasy
48043	Romance
7387	Action
7387	Drama
7387	Horror
109374	Comedy
109374	Drama
2109	Comedy
52722	Action
52722	Adventure
52722	Sci-Fi
52722	Thriller
1084	Crime
1084	Drama
89492	Drama
1321	Comedy
1321	Horror
1321	Thriller
3504	Comedy
3504	Drama
3396	Adventure
3396	Children
3396	Comedy
3396	Musical
2300	Comedy
3108	Comedy
3108	Drama
3108	Fantasy
3108	Romance
86882	Comedy
86882	Fantasy
86882	Romance
81932	Drama
6440	Drama
6440	Thriller
1094	Drama
1094	Romance
1094	Thriller
6565	Drama
2186	Crime
2186	Drama
2186	Film-Noir
2186	Thriller
6773	Animation
6773	Comedy
6773	Fantasy
2407	Comedy
2407	Sci-Fi
2968	Adventure
2968	Comedy
2968	Fantasy
2968	Sci-Fi
5266	Thriller
3030	Action
3030	Adventure
1269	Comedy
1269	Mystery
1269	Thriller
45186	Action
45186	Adventure
45186	Thriller
2087	Animation
2087	Children
2087	Fantasy
2087	Musical
53123	Drama
53123	Musical
53123	Romance
5878	Drama
5878	Romance
80489	Crime
80489	Drama
80489	Thriller
4007	Drama
5945	Comedy
5945	Drama
3424	Drama
7371	Drama
7371	Mystery
7371	Thriller
52328	Adventure
52328	Drama
52328	Sci-Fi
52328	Thriller
53519	Action
53519	Adventure
53519	Crime
53519	Horror
53519	Thriller
497	Comedy
497	Romance
2728	Action
2728	Drama
2728	Romance
2728	War
55052	Drama
55052	Romance
55052	War
3755	Drama
3755	Thriller
2795	Comedy
3683	Crime
3683	Drama
3683	Film-Noir
307	Drama
1680	Drama
1680	Romance
5013	Comedy
5013	Drama
5013	Mystery
1086	Crime
1086	Mystery
1086	Thriller
2020	Drama
2020	Romance
4326	Crime
4326	Drama
4326	Thriller
2403	Action
2403	Adventure
2403	Drama
2403	Thriller
54995	Action
54995	Horror
54995	Sci-Fi
3317	Comedy
3317	Drama
1945	Crime
1945	Drama
44694	Comedy
44694	Drama
6620	Comedy
6620	Drama
1231	Drama
898	Comedy
898	Drama
898	Romance
6957	Comedy
6957	Crime
1253	Drama
1253	Sci-Fi
1253	Thriller
46530	Action
46530	Adventure
46530	Sci-Fi
61024	Action
61024	Comedy
61024	Crime
4327	Adventure
4327	Western
306	Drama
64620	Drama
86332	Action
86332	Adventure
86332	Drama
86332	Fantasy
3624	Action
3624	Adventure
3624	Comedy
3624	Western
2746	Comedy
2746	Horror
2746	Musical
3168	Adventure
3168	Drama
440	Comedy
440	Romance
1952	Drama
1104	Drama
4881	Crime
4881	Drama
8228	Mystery
1347	Horror
1347	Thriller
11	Comedy
11	Drama
11	Romance
7160	Crime
7160	Drama
5810	Drama
1372	Action
1372	Mystery
1372	Sci-Fi
1982	Horror
47629	Drama
1569	Comedy
1569	Romance
2096	Animation
2096	Children
2096	Musical
89864	Comedy
89864	Drama
8340	Drama
8340	Thriller
2915	Comedy
60040	Action
60040	Sci-Fi
7156	Documentary
7156	War
1227	Crime
1227	Drama
661	Adventure
661	Animation
661	Children
661	Fantasy
661	Musical
3083	Drama
7482	Action
7482	Crime
